geo_accession	sex	ploidy	cell_type
GSM4798590	n/a	trisomic	n/a
GSM4798591	n/a	trisomic	n/a
GSM4798592	n/a	trisomic	n/a
GSM4798593	n/a	trisomic	n/a
GSM4798594	n/a	trisomic	n/a
GSM4798595	n/a	trisomic	n/a
GSM4798596	n/a	trisomic	n/a
GSM4798597	n/a	trisomic	n/a
GSM4798598	n/a	trisomic	n/a
GSM4798599	n/a	trisomic	n/a
GSM4798600	n/a	trisomic	n/a
GSM27472	n/a	n/a	n/a
GSM27473	n/a	n/a	n/a
GSM27474	n/a	n/a	n/a
GSM27475	n/a	n/a	n/a
GSM27476	n/a	n/a	n/a
GSM27477	n/a	n/a	n/a
GSM27478	n/a	trisomic	n/a
GSM27479	n/a	trisomic	n/a
GSM27480	n/a	trisomic	n/a
GSM27481	n/a	trisomic	n/a
GSM27482	n/a	trisomic	n/a
GSM27483	n/a	trisomic	n/a
GSM406286	female	disomic	n/a
GSM406287	female	trisomic	n/a
GSM406288	female	disomic	n/a
GSM406289	female	trisomic	n/a
GSM406290	male	disomic	n/a
GSM406291	male	trisomic	n/a
GSM406292	male	disomic	n/a
GSM406293	male	trisomic	n/a
GSM406294	male	disomic	n/a
GSM406295	male	trisomic	n/a
GSM406296	male	disomic	n/a
GSM406297	male	trisomic	n/a
GSM406298	male	disomic	n/a
GSM406299	male	trisomic	n/a
GSM417973	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417974	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417975	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417976	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417977	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417978	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417979	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417980	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417981	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417982	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
GSM417983	n/a	disomic	leukemic cells derived from Gata1 mutant fetal progenitors
